Date,Open,High,Low,Close,Adj Close,Volume
22-01-1999,0.043749999,0.048827998,0.038802002,0.041016001,0.017324848,2714688000
25-01-1999,0.044271,0.045832999,0.041016001,0.045313001,0.019139865,510480000
26-01-1999,0.045832999,0.046744999,0.041145999,0.041797001,0.017654739,343200000
27-01-1999,0.041926999,0.042969,0.039583001,0.041666999,0.01759983,244368000
28-01-1999,0.041666999,0.041926999,0.041276,0.041536,0.017544495,227520000
29-01-1999,0.041536,0.041666999,0.039583001,0.039583001,0.016719561,244032000
01-02-1999,0.039583001,0.040624999,0.039583001,0.040364999,0.017049873,154704000
02-02-1999,0.039583001,0.040624999,0.036068,0.037239999,0.015729897,264096000
03-02-1999,0.036719002,0.038541999,0.036458001,0.038020998,0.01605979,75120000
04-02-1999,0.038541999,0.041145999,0.038020998,0.040104002,0.016939631,181920000
05-02-1999,0.040755,0.041666999,0.039714001,0.041276,0.017434672,136848000
08-02-1999,0.041536,0.041666999,0.039843999,0.039843999,0.016829805,154080000
09-02-1999,0.040624999,0.040885001,0.037760001,0.038281001,0.01616961,86976000
10-02-1999,0.038281001,0.039322998,0.037239999,0.037891001,0.016004872,148224000
11-02-1999,0.038020998,0.042707998,0.038020998,0.041145999,0.017379764,132240000
12-02-1999,0.041666999,0.043749999,0.041666999,0.04349,0.01836985,109728000
16-02-1999,0.044271,0.046094,0.039322998,0.043749999,0.018479669,211008000
17-02-1999,0.042707998,0.043228999,0.040624999,0.041405998,0.01748958,67728000
18-02-1999,0.042707998,0.043228999,0.040885001,0.042057,0.017764557,70704000
19-02-1999,0.041666999,0.044271,0.041145999,0.04349,0.01836985,75360000
22-02-1999,0.044271,0.044792,0.041405998,0.043749999,0.018479669,205248000
23-02-1999,0.044792,0.046744999,0.042188,0.045832999,0.019359512,138096000
24-02-1999,0.052604001,0.054687999,0.048307002,0.049479,0.020899557,612768000
25-02-1999,0.051562998,0.053125001,0.047134999,0.047917001,0.020239778,149136000
26-02-1999,0.048438001,0.050000001,0.045313001,0.045703001,0.019304603,172608000
01-03-1999,0.046875,0.047917001,0.043749999,0.045963999,0.01941485,92160000
02-03-1999,0.045832999,0.046094,0.044792,0.045573,0.019249687,55248000
03-03-1999,0.045832999,0.045832999,0.042188,0.042447999,0.017929714,61392000
04-03-1999,0.044530999,0.044792,0.041145999,0.041536,0.017544495,57360000
